0	305	8
1	498	743
2	366	576
3	433	169
4	398	449
5	400	221
6	491	222
7	432	321
8	357	505
9	421	770
10	297	744
11	478	577
12	348	106
13	401	799
14	481	504
15	425	192
16	447	681
17	404	469
18	382	149
19	490	273
20	218	142
21	468	665
22	273	515
23	494	909
24	388	210
25	429	292
26	337	322
27	255	996
28	457	157
29	267	931
30	491	753
31	376	942
32	437	158
33	477	704
34	436	458
35	354	705
36	469	735
37	468	472
38	434	842
39	243	332
40	461	709
41	406	862
42	298	926
43	419	107
44	473	857
45	491	845
46	458	873
47	377	165
48	346	982
49	435	416
50	382	480
51	316	355
52	477	488
53	306	980
54	474	863
55	248	792
56	241	43
57	482	373
58	189	961
59	481	845
60	442	551
61	396	404
62	443	782
63	477	814
64	386	209
65	483	739
66	495	925
67	374	799
68	327	622
69	173	984
70	262	483
71	448	753
72	426	182
73	389	661
74	360	928
75	460	496
76	201	694
77	495	189
78	429	850
79	487	182
80	381	369
81	403	66
82	199	193
83	448	860
84	299	242
85	370	732
86	411	668
87	499	10
88	499	15
89	429	419
90	379	972
91	187	361
92	476	666
93	446	998
94	486	48
95	412	571
96	380	372
97	274	32
98	121	226
99	474	54
100	262	893
101	378	72
102	430	699
103	441	141
104	411	226
105	467	541
106	228	153
107	354	941
108	480	563
109	437	332
110	178	9
111	408	496
112	375	545
113	421	553
114	345	709
115	267	739
116	364	740
116	226	490
117	363	653
117	497	213
118	201	850
118	459	203
119	489	499
119	359	565
120	495	568
120	485	724
121	391	433
122	407	421
122	486	232
123	169	323
123	334	319
124	353	25
124	362	593
125	396	997
125	365	131
126	434	871
126	182	571
127	440	199
127	245	199
128	372	662
128	320	766
129	329	991
129	499	446
130	486	293
130	335	612
131	229	440
131	464	999
132	352	772
132	447	286
133	465	94
133	494	479
134	417	187
134	330	56
135	277	324
135	445	500
136	452	124
136	458	512
137	462	780
137	456	826
138	452	377
138	350	684
139	404	59
139	493	441
140	145	233
140	283	139
141	326	290
141	425	55
142	495	912
142	411	878
143	431	846
143	481	149
144	485	435
144	445	733
145	296	986
146	474	243
146	382	127
147	480	577
147	493	243
148	258	251
148	494	164
149	254	485
149	454	886
150	272	285
150	457	984
151	355	827
151	453	337
152	398	451
152	456	528
153	225	748
153	160	902
154	193	890
154	433	128
155	474	626
155	366	418
156	395	496
156	418	467
157	416	514
157	429	16
158	304	536
158	339	451
159	269	659
159	385	412
160	326	294
161	490	545
161	488	500
162	384	195
162	372	168
163	245	334
163	476	875
164	217	86
164	414	588
165	444	679
165	466	913
166	441	138
166	369	86
167	388	159
167	497	589
168	314	150
168	428	706
169	387	943
170	420	292
170	442	46
171	324	314
171	494	123
172	448	939
172	283	718
173	289	726
174	419	875
174	213	40
175	353	485
175	492	692
176	484	861
176	405	73
177	347	246
177	424	779
178	441	651
179	474	396
179	484	75
180	446	106
180	499	918
181	496	411
181	229	980
182	459	332
183	483	807
183	292	624
184	286	163
184	496	536
185	495	601
185	489	684
186	294	162
186	223	50
187	494	205
188	463	154
188	411	871
188	467	61
189	248	377
189	471	218
190	393	701
190	238	201
190	445	331
191	309	233
191	378	898
191	290	577
192	405	522
192	440	127
192	491	827
193	349	668
193	240	54
194	455	430
194	439	249
194	363	742
195	301	409
195	417	625
195	199	243
196	476	327
196	488	463
196	285	981
197	468	627
197	379	553
197	328	462
198	392	705
198	498	662
198	412	919
199	445	491
200	317	519
200	351	557
200	252	99
201	482	510
202	426	789
202	365	195
202	291	592
203	432	595
203	453	240
203	465	438
204	438	182
204	322	982
204	404	769
205	454	972
205	446	952
205	369	880
206	322	895
206	467	659
206	364	967
207	350	193
207	481	70
207	378	532
208	463	805
208	220	728
208	313	320
209	475	544
209	489	308
209	498	685
210	486	975
210	443	981
210	415	794
211	408	142
211	368	388
211	390	418
212	271	121
212	435	492
212	414	484
213	476	661
213	489	759
214	455	753
214	338	364
214	479	301
215	288	32
215	425	976
215	399	375
216	315	56
216	408	962
216	242	671
217	474	672
217	355	787
218	477	537
218	271	815
219	412	17
219	476	17
219	493	308
220	367	121
220	304	955
221	317	465
221	373	75
221	466	626
222	420	667
222	441	896
222	472	281
223	465	144
223	270	172
224	442	853
224	476	752
224	464	630
225	496	690
225	442	108
226	283	629
226	495	450
227	470	160
227	329	170
227	446	916
228	496	780
228	443	130
229	255	728
230	434	724
230	435	889
230	342	743
231	251	440
231	259	459
231	472	757
232	235	574
232	405	180
232	461	158
233	471	905
233	468	3
233	266	361
234	479	453
234	375	279
234	456	71
235	443	788
235	460	356
236	479	778
236	459	752
236	327	98
237	412	749
237	465	259
237	404	170
238	394	903
238	432	885
239	378	396
239	417	619
239	275	629
240	430	221
240	371	427
241	387	805
241	469	635
242	446	729
242	336	823
243	347	411
243	454	604
244	275	622
244	463	183
244	492	829
245	377	743
246	362	980
246	357	930
246	427	549
247	494	697
247	391	436
247	315	594
248	408	504
249	434	58
249	313	289
249	471	919
250	389	484
250	382	299
250	482	685
251	402	670
251	377	148
252	329	939
252	316	947
253	459	668
253	421	941
253	416	17
254	346	374
254	410	258
255	470	427
256	411	650
256	409	640
256	482	420
257	450	727
257	344	865
